 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2011,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.12,-0.60,"-354,059,012","-303,689,669","-87,174","-4,013,140","-918,315","-13,450","-145,493","-45,210,782","19,012",3%
2010,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.11,-0.60,"-251,229,233","-217,674,804","-69,445","-2,864,227","-654,249","-10,060","-119,400","-29,860,058","23,010",3%
2019,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum,Mining of other non-ferrous metal ores and concentrates,-0.69,-8.24,"-7,217,199,695","-7,105,545,383","-2,078,122","-88,910,285","-20,836,506","-321,719","-4,978,141","4,827,621","642,839",7%
2018,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum,Mining of other non-ferrous metal ores and concentrates,-0.58,-3.35,"-7,749,379,058","-7,579,351,049","-2,192,083","-93,741,779","-21,943,737","-339,800","-6,395,286","-46,032,265","616,941",9%
2017,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum,Mining of other non-ferrous metal ores and concentrates,-0.64,-4.93,"-7,462,736,358","-6,903,658,095","-1,994,157","-85,382,769","-20,005,873","-307,196","-5,559,791","-446,313,090","484,614",8%
2016,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum,Mining of other non-ferrous metal ores and concentrates,-0.87,-21.40,"-8,090,116,574","-7,529,018,168","-2,162,769","-94,755,154","-22,233,348","-336,098","-4,446,115","-437,701,140","536,219",6%
2015,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum, Mining of other non-ferrous metal ores and concentrates ,-1.02,-11.97,"-11,467,337,777","-10,710,043,460","-2,673,554","-138,733,592","-32,367,403","-471,983","-5,245,976","-578,602,740","800,930",6%
2014,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum, Mining of other non-ferrous metal ores and concentrates ,-0.99,-11.18,"-13,050,026,160","-12,387,292,163","-3,079,699","-160,771,351","-37,521,255","-544,441","-5,656,189","-456,040,455","879,394",5%
2013,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum, Mining of other non-ferrous metal ores and concentrates ,-1.09,-915.52,"-13,732,775,765","-13,046,218,784","-3,271,813","-170,678,309","-39,827,964","-576,944","-4,669,616","-468,531,569","999,234",4%
2012,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum, Mining of other non-ferrous metal ores and concentrates ,-1.12,NA,"-14,621,132,948","-14,006,861,661","-3,507,588","-183,211,030","-42,756,817","-618,808","-5,016,963","-380,215,989","1,055,908",4%
2011,ALCOA CORP,UNITED STATES OF AMERICA,Aluminum, Mining of other non-ferrous metal ores and concentrates ,-1.00,NA,"-14,732,161,740","-14,154,054,774","-3,581,948","-184,890,573","-43,132,617","-629,728","-5,524,610","-341,540,750","1,193,260",5%
2019,ALEXANDRIA R E EQUITIES INC,UNITED STATES OF AMERICA,Office REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.04,-0.23,"-60,817,169","-59,497,405","-13,814","-791,184","-185,457","-2,499","-1,317","-326,109",616,1%
2019,ALLETE INC,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.62,-11.17,"-2,008,898,664","-1,965,540,325","-468,949","-25,924,934","-6,069,432","-83,545","-187,591","-10,672,169","48,281",2%
2019,ALLIANT ENERGY CORP,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.28,-6.02,"-4,679,349,039","-4,363,317,214","-1,037,008","-57,425,161","-13,433,692","-185,497","-551,612","-243,513,643","114,788",2%
2016,ALLIANT ENERGY CORP,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.99,-10.59,"-6,600,718,846","-6,104,288,731","-1,532,707","-80,157,670","-18,805,532","-261,648","-502,057","-395,339,194","168,694",2%
2011,ALLIANT ENERGY CORP,UNITED STATES OF AMERICA,Electric Utilities, Production of electricity nec ,-1.43,-10.78,"-5,252,222,048","-4,629,764,998","-1,642,704","-58,835,904","-13,985,916","-219,458","-298,982","-547,962,588","488,502",1%
2010,ALLIANT ENERGY CORP,UNITED STATES OF AMERICA,Electric Utilities, Production of electricity nec ,-1.51,-9.19,"-5,147,566,643","-4,531,543,944","-1,654,350","-57,457,399","-13,673,870","-217,310","-279,253","-543,268,450","527,932",1%
2014,ALLSTATE CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.01,"-41,152,730","-40,243,727","-13,389","-536,116","-125,263","-2,142","-24,356","-220,161","12,424",24%
2013,ALLSTATE CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.01,"-48,869,590","-47,794,908","-14,682","-636,452","-148,831","-2,408","-21,830","-261,614","11,135",20%
2012,ALLSTATE CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.01,"-49,970,876","-48,294,501","-14,746","-643,086","-150,392","-2,423","-21,538","-855,177","10,987",20%
2010,ALLSTATE CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-58,842,896","-54,767,083","-16,625","-729,253","-170,553","-2,737","-23,855","-3,144,959","12,168",19%
2018,ALPHABET INC,UNITED STATES OF AMERICA,Interactive Media & Services,"Recreational, cultural and sporting activities (92)",-0.01,-0.04,"-1,125,878,591","-1,103,352,149","-247,550","-13,398,212","-3,120,917","-43,789","-171,132","-5,501,172","-43,670",20%
2017,ALPHABET INC,UNITED STATES OF AMERICA,Interactive Media & Services,"Recreational, cultural and sporting activities (92)",-0.01,-0.03,"-987,089,157","-846,290,854","-189,669","-10,221,529","-2,379,996","-33,495","-138,656","-127,799,575","-35,383",18%
2011,ALPHABET INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.01,-0.04,"-478,502,695","-468,642,742","-105,865","-5,883,257","-1,373,765","-18,921","-46,878","-2,419,305","-11,962",13%
2010,ALPHABET INC,UNITED STATES OF AMERICA,Interactive Media & Services," Recreational, cultural and sporting activities (92) ",-0.01,-0.04,"-394,393,200","-386,205,594","-87,396","-4,889,273","-1,142,353","-15,661","-33,144","-2,011,321","-8,458",11%
2019,AMAZON.COM INC,UNITED STATES OF AMERICA,Internet & Direct Marketing Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.24,"-3,442,167,475","-3,367,335,771","-808,199","-44,808,497","-10,501,276","-144,426","-218,088","-18,464,883","113,665",4%
2018,AMAZON.COM INC,UNITED STATES OF AMERICA,Internet & Direct Marketing Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.24,"-2,965,692,559","-2,901,224,640","-695,130","-38,605,290","-9,047,622","-124,300","-181,055","-15,908,886","94,364",4%
2019,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.00,-0.03,"-17,564,080","-15,986,230","-4,301","-211,951","-49,274",-738,"-5,072","-1,308,536","2,021",14%
2017,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),-0.01,-0.04,"-19,830,025","-19,398,509","-5,046","-257,369","-59,945",-876,"-4,800","-105,392","1,913",12%
2016,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),-0.01,-0.04,"-19,122,875","-18,706,752","-4,865","-248,193","-57,808",-845,"-4,615","-101,637","1,839",12%
2015,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.04,"-21,715,297","-21,242,975","-5,431","-281,938","-65,729",-949,"-4,506","-115,565","1,796",10%
2014,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.06,"-30,105,204","-29,451,031","-7,253","-391,159","-91,371","-1,284","-4,073","-160,656","1,623",7%
2013,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,0.01,0.04,"17,283,264","16,909,404","3,424","225,342","53,117",654,"-3,480","93,415","1,387",11%
2012,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.06,"-27,861,031","-27,255,692","-6,682","-362,032","-84,587","-1,185","-3,532","-148,728","1,408",7%
2011,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.06,"-25,452,222","-24,899,004","-6,198","-330,633","-77,190","-1,093","-3,963","-135,720","1,579",8%
2010,AMDOCS,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.07,"-29,314,561","-28,677,715","-6,999","-380,953","-89,028","-1,243","-3,464","-156,539","1,380",6%
2019,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-1.34,-6.26,"-7,926,499,952","-7,339,229,366","-1,783,289","-96,795,748","-22,643,059","-316,690","-893,722","-465,153,982","315,904",2%
2018,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-1.70,-7.87,"-10,676,612,561","-8,844,816,176","-2,159,253","-116,867,719","-27,344,018","-383,032","-951,337","-1,684,505,351","414,326",2%
2017,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-1.46,-6.17,"-8,997,938,582","-8,482,026,510","-2,414,314","-109,679,509","-25,833,524","-374,317","-934,098","-377,078,671","402,360",2%
2016,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities,Production of electricity nec,-1.29,-5.67,"-7,831,213,356","-7,319,651,023","-2,167,786","-94,620,559","-22,286,789","-330,957","-918,825","-391,786,511","549,093",2%
2015,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-1.39,-6.75,"-8,498,617,874","-7,969,473,761","-2,298,699","-102,897,811","-24,246,286","-353,037","-898,511","-398,851,761","401,992",2%
2014,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-1.48,-7.16,"-8,984,299,002","-8,453,885,562","-2,484,632","-109,214,000","-25,755,696","-377,242","-807,494","-392,254,498","480,122",2%
2013,AMEREN CORP,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-1.40,-6.91,"-8,187,137,268","-8,015,376,371","-2,896,070","-102,058,934","-24,263,557","-385,425","-464,525","-42,677,689","985,302",1%
2019,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.29,-3.52,"-13,058,225,189","-12,760,735,005","-3,100,111","-166,945,718","-38,997,448","-552,869","-2,191,113","-86,370,129","667,204",4%
2018,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.29,-3.74,"-12,883,375,076","-12,599,195,564","-3,046,281","-165,655,085","-38,342,928","-543,566","-2,132,371","-75,103,630","644,351",5%
2017,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.31,-2.77,"-13,259,788,823","-12,961,323,341","-3,163,815","-170,746,645","-39,559,739","-562,782","-2,020,633","-83,158,442","746,575",5%
2016,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.33,-2.20,"-13,196,741,508","-12,898,718,644","-3,153,627","-170,047,985","-39,417,691","-560,685","-1,923,591","-83,673,029","753,744",4%
2015,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.32,-1.82,"-13,265,971,272","-12,967,040,630","-3,131,734","-170,843,796","-39,604,598","-559,427","-1,923,830","-83,514,539","647,281",4%
2014,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.31,-2.62,"-13,310,034,032","-13,008,885,879","-3,143,882","-171,518,186","-39,785,143","-561,402","-1,826,535","-84,959,683","646,678",4%
2012,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.35,-17.55,"-8,668,090,062","-8,464,487,065","-2,009,025","-111,437,100","-25,908,546","-358,697","-992,154","-63,119,268","221,793",4%
2011,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.37,NA,"-8,811,236,264","-8,609,346,199","-2,041,026","-113,223,268","-26,300,897","-364,607","-1,107,949","-59,078,638","226,320",4%
2010,AMERICAN AIRLINES GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.39,-19.41,"-8,734,213,370","-8,529,795,918","-2,026,282","-112,296,010","-26,107,466","-361,641","-1,003,515","-62,850,765","228,228",4%
2019,AMERICAN AXLE & MFG HOLDINGS,UNITED STATES OF AMERICA,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.05,-0.72,"-319,734,465","-299,687,645","-70,249","-3,991,480","-933,343","-12,649","-54,539","-14,989,510","4,950",2%
2018,AMERICAN AXLE & MFG HOLDINGS,UNITED STATES OF AMERICA,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.06,-0.63,"-414,897,607","-397,049,691","-92,709","-5,287,011","-1,236,800","-16,722","-60,714","-11,159,471","5,511",2%
2019,AMERICAN ELECTRIC POWER CO,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.64,-9.27,"-25,490,395,416","-23,381,671,480","-5,930,229","-306,853,086","-71,955,844","-1,010,245","-2,353,226","-1,721,497,512","876,206",2%
2018,AMERICAN ELECTRIC POWER CO,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.86,-10.94,"-30,114,178,780","-27,225,855,097","-6,607,769","-360,245,651","-84,314,308","-1,175,095","-2,449,146","-2,434,692,471","1,160,757",2%
2017,AMERICAN ELECTRIC POWER CO,UNITED STATES OF AMERICA,Electric Utilities,Production of electricity nec,-1.93,-8.66,"-29,712,588,025","-26,622,557,466","-6,919,637","-349,541,655","-82,024,460","-1,161,623","-2,332,584","-2,649,292,474","1,241,874",1%
2013,AMERICAN EXPRESS CO,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-40,240,527","-39,355,942","-12,847","-521,354","-121,599","-2,064","-24,423","-213,723","11,425",24%
2012,AMERICAN EXPRESS CO,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-41,474,429","-40,563,205","-13,082","-537,432","-125,375","-2,110","-24,164","-220,365","11,304",23%
2011,AMERICAN EXPRESS CO,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-60,892,602","-59,558,950","-17,833","-789,850","-184,487","-2,946","-26,751","-324,299","12,514",19%
2010,AMERICAN EXPRESS CO,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-59,934,490","-58,623,725","-16,931","-777,782","-181,771","-2,831","-22,380","-319,540","10,469",17%
2019,AMERICAN TOWER CORP,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.10,-0.26,"-736,669,066","-720,165,620","-165,719","-9,577,407","-2,245,229","-30,088","-6,519","-4,481,533","3,049",1%
2018,AMERICAN TOWER CORP,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.10,-0.36,"-754,949,061","-738,119,406","-169,806","-9,816,197","-2,301,216","-30,833","-6,398","-4,508,199","2,993",1%
2017,AMERICAN TOWER CORP,UNITED STATES OF AMERICA,Specialized REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.12,-0.36,"-775,834,781","-759,004,100","-174,477","-10,094,012","-2,366,366","-31,691","-5,731","-4,161,085","2,681",0%
2010,AMERICAN TOWER CORP,UNITED STATES OF AMERICA,Specialized REITs ," Financial intermediation, except insurance and pension funding (65) ",-0.02,-0.05,"-44,936,685","-43,961,297","-10,285","-584,546","-137,007","-1,855","-1,469","-240,913",687,2%
2017,AMERICAN WATER WORKS CO INC,UNITED STATES OF AMERICA,Water Utilities,"Collection, purification and distribution of water (41)",-1.71,-4.68,"-5,741,876,115","-181,120,529","-41,922","-2,408,352","-564,424","-7,594","-3,399","-5,557,731,395","1,500",0%
2010,AMERICAN WATER WORKS CO INC,UNITED STATES OF AMERICA,Water Utilities," Collection, purification and distribution of water (41) ",-0.09,-0.34,"-252,159,268","-246,689,365","-56,680","-3,280,627","-769,024","-10,297","-1,792","-1,352,275",791,0%
2015,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.02,"-142,655,083","-131,330,007","-29,297","-1,584,861","-361,017","-5,164","-28,389","-9,311,296","-5,052",24%
2014,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.02,"-141,435,121","-131,451,562","-29,431","-1,609,887","-368,411","-5,213","-24,281","-7,942,014","-4,321",21%
2013,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.02,"-142,942,688","-132,841,153","-29,844","-1,649,263","-379,005","-5,310","-20,615","-8,013,830","-3,669",18%
2012,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.03,"-148,069,116","-137,400,433","-30,911","-1,715,333","-394,849","-5,510","-19,662","-8,498,920","-3,499",16%
2011,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.03,"-149,828,988","-137,256,121","-30,860","-1,709,370","-393,188","-5,496","-20,371","-10,409,957","-3,625",17%
2010,AMGEN INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.03,"-158,632,696","-144,753,633","-32,611","-1,816,986","-418,933","-5,823","-18,984","-11,582,348","-3,378",15%
2019,AMPHENOL CORP,UNITED STATES OF AMERICA,Electronic Components,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.06,"-103,345,954","-91,962,956","-24,195","-1,178,460","-271,855","-4,099","-1,328,236","-8,585,118","8,964",19%
2018,AMPHENOL CORP,UNITED STATES OF AMERICA,Electronic Components,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.07,"-112,871,745","-102,636,531","-26,626","-1,320,542","-305,179","-4,542","-1,324,457","-7,262,807","8,939",18%
2017,AMPHENOL CORP,UNITED STATES OF AMERICA,Electronic Components,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.07,"-102,587,442","-91,111,479","-23,533","-1,173,721","-271,398","-4,023","-1,132,183","-8,878,746","7,641",17%
2016,ANALOG DEVICES INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.04,"-37,177,199","-31,186,363","-8,448","-396,210","-91,047","-1,411","-552,488","-4,944,961","3,729",22%
2015,ANALOG DEVICES INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-0.05,"-40,590,139","-34,632,735","-9,227","-442,172","-101,835","-1,553","-548,718","-4,857,601","3,703",20%
